family,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio
jordan_gamma_1,4,0.00015000000000000001,0.003,100000.0,3125,0.05255463655540716,0.22924798048272346,2941,0.05556951028395668,0.2357318609860718,980,0.0879777792764252,0.2966104840972841,1.057366465190393,0.6316311998437458
jordan_gamma_1,4,0.0002,0.004,1000.0,31,0.15948121504499763,0.39935099229249155,29,0.1577338746186406,0.39715724167971633,9,0.41923755055581535,0.647485560113749,0.9890435972295295,0.3762398535377395
jordan_gamma_1,4,0.0002,0.004,10000.0,312,0.07418553508013252,0.2723702169476915,294,0.07640398699683597,0.27641271135176826,98,0.11758571912860324,0.34290774142413766,1.0299041034658192,0.6497726727620137
jordan_gamma_1,4,0.0002,0.004,100000.0,3125,0.06571517017766859,0.25634970290146347,2941,0.06839345770245837,0.26152142876341583,980,0.09013201312230641,0.30021994124692386,1.0407560007460792,0.7588142695720168
jordan_gamma_1,4,0.00025,0.005,1000.0,31,0.16914249917442303,0.41126937543953235,29,0.1660078770307376,0.40744064234037525,9,0.42056923820284153,0.6485130979423943,0.9814675663479884,0.39472187205159215
jordan_gamma_1,4,0.00025,0.005,10000.0,312,0.08308151875919874,0.2882386489685218,294,0.08465001215059592,0.29094675140065734,98,0.11825092118620296,0.34387631669861035,1.0188789686902964,0.7158507629492576
jordan_gamma_1,4,0.00025,0.005,100000.0,3125,0.07453515500102216,0.2730112726629107,2941,0.07663672725610578,0.27683339259580986,980,0.0907365575026662,0.3012250944105856,1.0281957185848047,0.8446069518766335
neutral_rank_one,1,1.25e-05,0.00025,1000.0,125,0.030373513536981634,0.1742799860482598,100,0.03808152904534897,0.19514489243982014,19,0.20749195822077468,0.4555128518722328,1.2537742463999877,0.1835325540897813
neutral_rank_one,1,1.25e-05,0.00025,10000.0,1250,0.0032529583791394995,0.057034712054498,1000,0.00414682705605308,0.06439586210350072,196,0.02573789937632051,0.16043035677925954,1.2747863860311777,0.161117540923649
neutral_rank_one,1,1.25e-05,0.00025,100000.0,12500,0.0005409028633552857,0.023257318490214767,10000,0.0007533568571234913,0.02744734699608491,1960,0.008178608945585107,0.09043566191268303,1.392776611405471,0.09211307963686913
neutral_rank_one,1,2.5e-05,0.0005,1000.0,125,0.031180346732235232,0.17657957620357806,100,0.03933328624783223,0.19832621170140932,19,0.22514617590846836,0.4744957069441918,1.2614768714925235,0.1747011073544634
neutral_rank_one,1,2.5e-05,0.0005,10000.0,1250,0.003956959895044457,0.06290437103289769,1000,0.005240595891945676,0.07239196013333025,196,0.04094717675594289,0.2023540875691492,1.324399546861416,0.127984303366778
neutral_rank_one,1,2.5e-05,0.0005,100000.0,12500,0.00123462121132538,0.03513717705401759,10000,0.00183132685635702,0.04279400491140108,1960,0.02315168022764806,0.1521567620174932,1.4833107025522991,0.07910125046431937
neutral_rank_one,1,5e-05,0.001,1000.0,125,0.03398595257433878,0.18435279377958658,100,0.04360662488236457,0.2088219932918096,19,0.26927754851501945,0.518919597351092,1.283077906584555,0.16193932662727106
neutral_rank_one,1,5e-05,0.001,10000.0,1250,0.006574421357948197,0.08108280556288243,1000,0.009231819212676465,0.09608235640676423,196,0.08211494874099244,0.28655706018346927,1.4042025465124148,0.11242556141386066
neutral_rank_one,1,5e-05,0.001,100000.0,12500,0.0038332682363091384,0.06191339302856159,10000,0.005794338645707655,0.07612055337231631,1960,0.06403313825434916,0.2530476995634403,1.5115922728347164,0.09048968711625034
neutral_rank_one,1,7.500000000000001e-05,0.0015,1000.0,125,0.03815860336211975,0.19534227233786278,100,0.04981362719891412,0.2231896664250254,19,0.31294472405416857,0.5594146262426185,1.3054363317805382,0.15917707943301745
neutral_rank_one,1,7.500000000000001e-05,0.0015,10000.0,1250,0.010580213535209984,0.10286016495811186,1000,0.015196746828028141,0.12327508599886736,196,0.12429635467911168,0.3525568814802963,1.436336495237526,0.12226220847152482
neutral_rank_one,1,7.500000000000001e-05,0.0015,100000.0,12500,0.007822374552519008,0.08844418891322939,10000,0.011735058790939543,0.10832847636212531,1960,0.10607100373948754,0.325685436793676,1.5001913692768072,0.1106339939967107
neutral_rank_one,1,0.0001,0.002,1000.0,125,0.04345898471838493,0.20846818634598643,100,0.05751126429106092,0.23981506268593913,19,0.3500872949505221,0.5916817514090849,1.3233457860034015,0.16427692498577817
neutral_rank_one,1,0.0001,0.002,10000.0,1250,0.015732749825016025,0.12543025880949152,1000,0.022686915168362274,0.1506217619348621,196,0.1606971063824218,0.400870435904697,1.4420184278458879,0.1411781187545013
neutral_rank_one,1,0.0001,0.002,100000.0,12500,0.012960126335679133,0.11384255063762026,10000,0.01920448025609241,0.13858023039413814,1960,0.1424000881648257,0.3773593621004065,1.4818127353606592,0.13486283964841053
neutral_rank_one,1,0.00015000000000000001,0.003,1000.0,125,0.056625916148360565,0.23796200568233694,100,0.07594286466911966,0.27557732974451954,19,0.4017349232584392,0.63382562527752,1.341132644461742,0.18903724887334486
neutral_rank_one,1,0.00015000000000000001,0.003,10000.0,1250,0.028653044649803564,0.1692721023967138,1000,0.04078905209078285,0.20196299683551652,196,0.21179313758921964,0.4602098842802267,1.4235503622496357,0.19258911103104143
