family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_variance,split_noisy_bias_squared,dilation_noisy_variance,dilation_noisy_bias_squared,genexp_noisy_variance,genexp_noisy_bias_squared,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
jordan_gamma_1,2,0.00025,0.005,3.051608565260146,0.11125869515940115,2.6049073058481715,0.1259049805028405,3.007461145069984,0.2177228317013559,16.0,18.0,70.0
jordan_gamma_1,3,1.25e-05,0.00025,2.650745561852465,0.00167076642289866,2.3985714559563096,0.002001624315611468,2.739361868386102,0.01682159740536126,24.0,26.0,86.0
jordan_gamma_1,3,2.5e-05,0.0005,2.697545020240815,0.006184079036432376,2.435300809746732,0.007350473366541045,2.8257402794360265,0.05124369480694242,24.0,26.0,86.0
jordan_gamma_1,3,5e-05,0.001,2.7730269578810693,0.021234090868274217,2.4916256111742645,0.024859450694682154,2.9139939973476015,0.1240871413116659,24.0,26.0,86.0
jordan_gamma_1,3,7.500000000000001e-05,0.0015,2.8295289247672692,0.041155228148053793,2.5308498439836615,0.04749736049309354,2.952714438595474,0.17847943954528048,24.0,26.0,86.0
jordan_gamma_1,3,0.0001,0.002,2.8718644114279606,0.06324734724820691,2.5580847062678975,0.07201893273153688,2.9721216711322036,0.21323141777854865,24.0,26.0,86.0
jordan_gamma_1,3,0.00015000000000000001,0.003,2.9274702668637578,0.10749433707950307,2.589951701417316,0.11946101303778696,2.989361969628199,0.24638536004095068,24.0,26.0,86.0
jordan_gamma_1,3,0.0002,0.004,2.9589002044114587,0.14646651966292834,2.6050457460208696,0.15939524821817258,2.995819289408557,0.2576120140822342,24.0,26.0,86.0
jordan_gamma_1,3,0.00025,0.005,2.976746950154938,0.17798000491586108,2.6121055279449297,0.19028206855450308,2.998376185314726,0.26139172163817986,24.0,26.0,86.0
jordan_gamma_1,4,1.25e-05,0.00025,2.5278881221692973,0.0010983867906623574,2.5497718696702445,0.001245141587297496,2.5951923832034516,0.007784089616407938,32.0,34.0,102.0
jordan_gamma_1,4,2.5e-05,0.0005,2.588392049297793,0.003929734045849081,2.5650887960854725,0.004420626932988661,2.691149535980695,0.022467419265404007,32.0,34.0,102.0
jordan_gamma_1,4,5e-05,0.001,2.686194903136212,0.012648268932315535,2.5862748765379853,0.01402383840625081,2.8134508791536406,0.049881037507325,32.0,34.0,102.0
jordan_gamma_1,4,7.500000000000001e-05,0.0015,2.759993489008331,0.02307955881033593,2.5990575295441163,0.025252806055370922,2.8847608070499753,0.06740112390890722,32.0,34.0,102.0
jordan_gamma_1,4,0.0001,0.002,2.8160086215122493,0.033538915953564105,2.6067402104403268,0.036258140984725656,2.9283175567611215,0.07711780141846052,32.0,34.0,102.0
jordan_gamma_1,4,0.00015000000000000001,0.003,2.8914417385545987,0.05162937519906969,2.614082167132211,0.05468066901665569,2.9722826443451993,0.08494483780260356,32.0,34.0,102.0
