schedule_index,theta_1,theta_2,method,true_score,noisy_mean_score,noisy_per_shot_variance,cx_cost_per_evaluation
15,1.5707963267948966,-3.141592653589793,split,-0.055666714679384444,-0.04179353511381727,0.5751985740581693,8.0
15,1.5707963267948966,-3.141592653589793,dilation,-0.055666714679384444,-0.03916578651234727,0.3933305042542899,10.0
15,1.5707963267948966,-3.141592653589793,genexp,-0.055666714679384444,-0.01572058302569882,0.5766843947835165,54.0
16,1.5707963267948966,-1.5707963267948966,split,-0.027383759475020454,-0.01923763853868589,0.5960656999181978,8.0
16,1.5707963267948966,-1.5707963267948966,dilation,-0.027383759475020454,-0.0180414435748779,0.4343404689290817,10.0
16,1.5707963267948966,-1.5707963267948966,genexp,-0.027383759475020454,-0.008666999437015769,0.5850428130671752,54.0
17,1.5707963267948966,0.0,split,0.18236888445289856,0.14262056441994891,0.5566046283956796,8.0
17,1.5707963267948966,0.0,dilation,0.18236888445289856,0.13349213074117477,0.45666330098197205,10.0
17,1.5707963267948966,0.0,genexp,0.18236888445289856,0.041127481497083944,0.5753091081684508,54.0
18,1.5707963267948966,1.5707963267948966,split,0.15408592924853454,0.12002779754801905,0.5430480828440518,8.0
18,1.5707963267948966,1.5707963267948966,dilation,0.15408592924853454,0.11233324684012742,0.422047231956177,10.0
18,1.5707963267948966,1.5707963267948966,genexp,0.15408592924853454,0.03362855402051759,0.5676835704771918,54.0
19,1.5707963267948966,3.141592653589793,split,-0.055666714679384444,-0.04179353639234895,0.5751985732707188,8.0
19,1.5707963267948966,3.141592653589793,dilation,-0.055666714679384444,-0.03916580821234997,0.39333051688426757,10.0
19,1.5707963267948966,3.141592653589793,genexp,-0.055666714679384444,-0.015720575719803453,0.576684365587011,54.0
20,3.141592653589793,-3.141592653589793,split,-0.18631293183897912,-0.14691206415563507,0.517582087407518,8.0
20,3.141592653589793,-3.141592653589793,dilation,-0.18631293183897912,-0.1374786951751751,0.4521521785984013,10.0
20,3.141592653589793,-3.141592653589793,genexp,-0.18631293183897912,-0.04377508010913171,0.5591544752434886,54.0
21,3.141592653589793,-1.5707963267948966,split,-0.18735288969045524,-0.14751698151491793,0.5368944772401089,8.0
21,3.141592653589793,-1.5707963267948966,dilation,-0.18735288969045524,-0.1380248533539511,0.4156151718873085,10.0
21,3.141592653589793,-1.5707963267948966,genexp,-0.18735288969045524,-0.04179555071331456,0.5673817383161015,54.0
