family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,5156.188276901594,644,0.00389251072726474,0.06238998899875476,0.045515297860542085,0.2133431458016453,0.041186222853296255
jordan_gamma_1,split,5265.761528165444,658,0.003809691350088894,0.06172269720361299,0.045423189881664515,0.21312716833305068,0.041186222853296255
jordan_gamma_1,split,5377.6633013427245,672,0.0037303227802953755,0.061076368427529934,0.045334919735240176,0.21291998434914505,0.041186222853296255
jordan_gamma_1,split,5491.943079443554,686,0.0036541937439628167,0.06044992757615857,0.045250252451935195,0.21272106724989698,0.041186222853296255
jordan_gamma_1,split,5608.6513970328115,701,0.0035760012958038407,0.0597996763854441,0.04516329033498857,0.21251656484845735,0.041186222853296255
jordan_gamma_1,split,5727.839862576538,715,0.0035059816900118775,0.059211330756974864,0.045085417684997395,0.21233327032049734,0.041186222853296255
jordan_gamma_1,split,5849.561181263205,731,0.003429243376687404,0.05855974194519136,0.045000072791280266,0.21213220592658782,0.041186222853296255
jordan_gamma_1,split,5973.869178310004,746,0.0033602907618746547,0.057968014989946436,0.044923386800570134,0.21195137838799288,0.041186222853296255
jordan_gamma_1,split,6100.818822764359,762,0.0032897334755360792,0.0573561982311945,0.04484491616650664,0.21176618277361153,0.041186222853296255
jordan_gamma_1,split,6230.466251811245,778,0.003222078288378525,0.05676335339264696,0.0447696731163635,0.21158845222829034,0.041186222853296255
jordan_gamma_1,split,6362.868795597115,795,0.0031531785010798646,0.05615317000027572,0.04469304587803376,0.21140729854485574,0.041186222853296255
jordan_gamma_1,split,6498.085002581285,812,0.003087163680244449,0.0555622504965777,0.04461962716938778,0.2112335843784974,0.041186222853296255
jordan_gamma_1,split,6636.174665426095,829,0.0030238563430138627,0.05498960213543887,0.044549219601989036,0.2110668605015696,0.041186222853296255
jordan_gamma_1,split,6777.198847437253,847,0.0029595949331269094,0.05440215926897488,0.04447775095797903,0.21089748921686818,0.041186222853296255
jordan_gamma_1,split,6921.219909566031,865,0.0028980079865416094,0.05383314951348852,0.044409256731523204,0.2107350391641675,0.041186222853296255
jordan_gamma_1,split,7068.3015379853405,883,0.002838931946045858,0.053281628597912224,0.04434355502166128,0.21057909445541187,0.041186222853296255
jordan_gamma_1,split,7218.508772251769,902,0.0027791318274484394,0.0527174717474998,0.04427704802476667,0.21042112067177732,0.041186222853296255
jordan_gamma_1,split,7371.908034066069,921,0.002721799031876756,0.052170863821454555,0.04421328507334654,0.21026955336744915,0.041186222853296255
jordan_gamma_1,split,7528.567156644912,941,0.002663949955747601,0.05161346680613114,0.04414894793795759,0.21011651038877832,0.041186222853296255
jordan_gamma_1,split,7688.555414716732,961,0.002608508749592604,0.05107356213925757,0.044087288727038515,0.20996973288319085,0.041186222853296255
jordan_gamma_1,split,7851.943555155049,981,0.0025553281430769543,0.05055025364008527,0.044028143653159976,0.2098288437111542,0.041186222853296255
jordan_gamma_1,split,8018.803828262768,1002,0.002501773361635222,0.05001773047265561,0.04396858243879158,0.2096868675878191,0.041186222853296255
jordan_gamma_1,split,8189.210019721267,1023,0.002450417310223355,0.04950168997340752,0.04391146655287232,0.20955063004646948,0.041186222853296255
jordan_gamma_1,split,8363.237483218501,1045,0.0023988295773765475,0.04897784782303677,0.043854093001302295,0.20941368866743715,0.041186222853296255
