method,total_cnot_budget,trial_id,shots_per_evaluation,schedule_cx_cost,selected_theta_1,selected_theta_2,reported_best_score,selected_true_score,dense_grid_optimum_score,regret
split,19952.62314968879,63,60,328.0,-0.7853981633974483,0.0,0.45575794696654925,0.3935964418743362,0.46117153202478534,0.06757509015044916
split,19952.62314968879,64,60,328.0,0.39269908169872414,0.0,0.5040827115138231,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,19952.62314968879,65,60,328.0,0.0,0.0,0.46235442472190236,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,66,60,328.0,0.39269908169872414,0.0,0.4636485698818942,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,19952.62314968879,67,60,328.0,0.0,-0.7853981633974483,0.5371631936643639,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,19952.62314968879,68,60,328.0,0.0,-0.7853981633974483,0.5926471255551193,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,19952.62314968879,69,60,328.0,0.7853981633974483,0.7853981633974483,0.515903395631446,0.327275447145262,0.46117153202478534,0.1338960848795233
split,19952.62314968879,70,60,328.0,0.0,0.39269908169872414,0.47592502700464245,0.4164744938764483,0.46117153202478534,0.04469703814833703
split,19952.62314968879,71,60,328.0,0.0,0.7853981633974483,0.5073841627092714,0.34489764110741855,0.46117153202478534,0.11627389091736678
split,19952.62314968879,72,60,328.0,-0.39269908169872414,-0.39269908169872414,0.5621263472831193,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,73,60,328.0,-0.7853981633974483,-0.7853981633974483,0.4752530121525022,0.3817483705135365,0.46117153202478534,0.07942316151124884
split,19952.62314968879,74,60,328.0,0.0,0.0,0.5146726898040224,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,75,60,328.0,-0.7853981633974483,0.0,0.5020475879642426,0.3935964418743362,0.46117153202478534,0.06757509015044916
split,19952.62314968879,76,60,328.0,-0.39269908169872414,-0.39269908169872414,0.5255313233790395,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,77,60,328.0,0.0,0.0,0.4188572113667816,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,78,60,328.0,0.0,0.7853981633974483,0.49694560504788876,0.34489764110741855,0.46117153202478534,0.11627389091736678
split,19952.62314968879,79,60,328.0,0.39269908169872414,-0.39269908169872414,0.4333297490407384,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,19952.62314968879,80,60,328.0,-0.39269908169872414,-0.39269908169872414,0.46346480719827965,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,81,60,328.0,-0.39269908169872414,-0.39269908169872414,0.5644621178205819,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,82,60,328.0,0.0,-0.39269908169872414,0.4993014973999399,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,83,60,328.0,0.39269908169872414,-0.39269908169872414,0.4201377353576312,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,19952.62314968879,84,60,328.0,0.39269908169872414,-0.39269908169872414,0.4685264068200214,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,19952.62314968879,85,60,328.0,0.39269908169872414,0.39269908169872414,0.4832289516525683,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,19952.62314968879,86,60,328.0,0.0,-0.39269908169872414,0.4738594786077172,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,87,60,328.0,0.39269908169872414,0.0,0.42710715655300885,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,19952.62314968879,88,60,328.0,0.39269908169872414,-0.39269908169872414,0.4109945595208888,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,19952.62314968879,89,60,328.0,0.0,0.39269908169872414,0.5039340818145382,0.4164744938764483,0.46117153202478534,0.04469703814833703
split,19952.62314968879,90,60,328.0,0.39269908169872414,0.0,0.49033666003962184,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,19952.62314968879,91,60,328.0,0.0,0.0,0.5539132014575505,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,92,60,328.0,-0.7853981633974483,-0.7853981633974483,0.553110207341492,0.3817483705135365,0.46117153202478534,0.07942316151124884
split,19952.62314968879,93,60,328.0,0.0,0.39269908169872414,0.5062390099278489,0.4164744938764483,0.46117153202478534,0.04469703814833703
split,19952.62314968879,94,60,328.0,0.0,-0.39269908169872414,0.4776970842649255,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,95,60,328.0,0.0,-0.7853981633974483,0.5032756131924134,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,0,96,328.0,-0.39269908169872414,-0.39269908169872414,0.3975043046526872,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,1,96,328.0,0.39269908169872414,-0.39269908169872414,0.4836155013894373,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,31622.776601683792,2,96,328.0,0.39269908169872414,-0.39269908169872414,0.49247743417118384,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,31622.776601683792,3,96,328.0,0.0,-0.39269908169872414,0.4074861551886454,0.45440492458022935,0.46117153202478534,0.006766607444555983
