family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_factor,dilation_noisy_factor,genexp_noisy_factor,dil_vs_split_noisy_ratio,dil_vs_genexp_noisy_ratio,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
neutral_rank_one,3,0.00015000000000000001,0.003,96.32961375849462,104.42342948024343,335.11117076204295,1.0840220925419737,0.31160832162886276,24.0,26.0,83.0
neutral_rank_one,3,0.0002,0.004,96.5337849033824,104.63809595245891,335.27501391023424,1.0839531057151428,0.31209631380546143,24.0,26.0,83.0
neutral_rank_one,3,0.00025,0.005,96.67517495717996,104.78165449321631,335.33110569482494,1.0838527526805815,0.3124722183947201,24.0,26.0,83.0
neutral_rank_one,4,1.25e-05,0.00025,123.95581290803685,131.7833203246759,388.9858169690011,1.0631475622885578,0.3387869546286772,32.0,34.0,99.0
neutral_rank_one,4,2.5e-05,0.0005,125.02315838385954,132.97889151561012,395.55212536038516,1.0636340757551814,0.33618550625775007,32.0,34.0,99.0
neutral_rank_one,4,5e-05,0.001,126.81361220030811,134.96035556234682,403.58835863257076,1.064241868208679,0.3344010120103973,32.0,34.0,99.0
neutral_rank_one,4,7.500000000000001e-05,0.0015,128.22431971383742,136.49589169727804,407.70813621449025,1.0645086049347001,0.3347882457402548,32.0,34.0,99.0
neutral_rank_one,4,0.0001,0.002,129.33359599138316,137.6833288689958,409.8374017360465,1.0645596591791118,0.3359462271763815,32.0,34.0,99.0
neutral_rank_one,4,0.00015000000000000001,0.003,130.88591038640428,139.3052123219157,411.53500840479705,1.064325502345178,0.3385014870591308,32.0,34.0,99.0
neutral_rank_one,4,0.0002,0.004,131.83431013951062,140.26280972389668,412.0172017633129,1.0639325193530182,0.3404294993597669,32.0,34.0,99.0
neutral_rank_one,4,0.00025,0.005,132.40886958125228,140.8231137599082,412.1607579614645,1.0635474360990036,0.3416703580816751,32.0,34.0,99.0
